Time,Ambient (deg C)
2018-04-08 02:49:53.786768,7.6
2018-04-08 02:59:53.784459,7.5
2018-04-08 03:09:53.782150,7.5
2018-04-08 03:19:53.779840,7.6
2018-04-08 03:29:53.777531,7.5
2018-04-08 03:39:53.775222,7.5
2018-04-08 03:49:53.772913,7.6
2018-04-08 03:59:53.770603,7.5
2018-04-08 04:09:53.768294,7.5
2018-04-08 04:19:53.765985,7.5
2018-04-08 04:29:53.763675,7.5
2018-04-08 04:39:53.761366,7.5
2018-04-08 04:49:53.759057,7.6
2018-04-08 04:59:53.756747,7.5
2018-04-08 05:09:53.754438,7.6
2018-04-08 05:19:53.752129,7.6
2018-04-08 05:29:53.749820,7.6
2018-04-08 05:39:53.747510,7.6
2018-04-08 05:49:53.745201,7.8
2018-04-08 05:59:53.742892,7.8
2018-04-08 06:09:53.740582,7.8
2018-04-08 06:19:53.738273,7.8
2018-04-08 06:29:53.735964,7.9
2018-04-08 06:39:53.733654,7.8
2018-04-08 06:49:53.731345,7.9
2018-04-08 06:59:53.729036,7.9
2018-04-08 07:09:53.726727,7.9
2018-04-08 07:19:53.724417,8.0
2018-04-08 07:29:53.722108,8.0
2018-04-08 07:39:53.719799,8.1
2018-04-08 07:49:53.717489,8.1
2018-04-08 07:59:53.715180,8.1
2018-04-08 08:09:53.712871,8.1
2018-04-08 08:19:53.710561,8.3
2018-04-08 08:29:53.708252,8.3
2018-04-08 08:39:53.705943,8.3
2018-04-08 08:49:53.703634,8.3
2018-04-08 08:59:53.701324,8.3
2018-04-08 09:09:53.699015,8.5
2018-04-08 09:19:53.696706,8.5
2018-04-08 09:29:53.694396,8.6
2018-04-08 09:39:53.692087,8.6
2018-04-08 09:49:53.689778,8.6
2018-04-08 09:59:53.687468,8.8
2018-04-08 10:09:53.685159,8.8
2018-04-08 10:19:53.682850,8.8
2018-04-08 10:29:53.680541,8.8
2018-04-08 10:39:53.678231,8.8
2018-04-08 10:49:53.675922,8.8
2018-04-08 10:59:53.673613,9.0
2018-04-08 11:09:53.671303,9.0
2018-04-08 11:19:53.668994,9.0
2018-04-08 11:29:53.666685,9.0
2018-04-08 11:39:53.664375,9.1
2018-04-08 11:49:53.662066,9.1
2018-04-08 11:59:53.659757,9.1
